,Country Name,Country Code,TotElecGen_2015,RenewElecGen_2015,NotRenewShare_2015,PolStab_2015,ContCorrup_2015,RegQual_2015,RuleofLaw_2015,GDP2010base_2015,GDPPerCapita_2015,GovEffec_2015
0,Nauru,NRU,25.1,0.1,99.60159362549801,0.5437602400779724,-0.5246900916099548,-1.2231661081314087,-1.0861858129501343,99885492.8212807,6956.25380055393,-0.5363368391990662
1,Afghanistan,AFG,1033.7,889.5,13.949888749153502,-2.5712218284606934,-1.3419941663742065,-0.9973711371421814,-1.5040403604507446,19759744157.4377,578.466352941708,-1.3229681253433228
2,Albania,ALB,5895.0,5895.0,0.0,0.34612905979156494,-0.47903284430503845,0.1866678148508072,-0.32822921872138977,13033375121.5884,3952.80121524465,0.010291067883372307
3,Algeria,DZA,68798.0,222.0,99.67731620105235,-1.0901597738265991,-0.6455668807029724,-1.1736047267913818,-0.8639446496963501,189736013664.039,4187.50972747204,-0.5008813738822937
4,American Samoa,ASM,169.4,1.5,99.11452184179457,1.1813572645187378,1.2185018062591553,0.17245230078697205,1.3452397584915161,549779735.682819,11843.3311832581,0.4874166250228882
5,Angola,AGO,9764.0,5192.0,46.8250716919295,-0.5008977651596069,-1.3947782516479492,-0.909185528755188,-1.0819318294525146,104519586272.323,4166.97968386501,-1.0001033544540405
6,Antigua and Barbuda,ATG,340.0,0.0,100.0,1.0047245025634766,0.6896325349807739,0.3740782141685486,0.5898855924606323,1247061369.26107,14286.0931598293,0.22745895385742188
7,Argentina,ARG,144957.0,40791.0,71.8599308760529,0.014785380102694035,-0.5470577478408813,-0.9114419221878052,-0.7708120346069336,455825423287.839,13789.060424772,-0.0750081017613411
8,Armenia,ARM,7799.0,2210.0,71.6630337222721,-0.2523326277732849,-0.5338236689567566,0.24180687963962555,-0.3878529667854309,11479040583.9041,3607.29669672271,-0.16080878674983978
9,Aruba,ABW,931.6,138.4,85.1438385573207,1.2309212684631348,1.2971105575561523,1.3714962005615234,1.2610265016555786,2694319530.67228,27980.8806952751,0.8835687041282654
10,Australia,AUS,252276.0,34405.0,86.3621589053259,0.8849798440933228,1.8821128606796265,1.7886841297149658,1.8252118825912476,1311782440650.19,56755.7217124249,1.5645337104797363
11,Austria,AUT,61763.0,47243.0,23.509220730858303,1.1430792808532715,1.5192756652832031,1.4032657146453857,1.855246663093567,413029270083.549,44178.0473777432,1.4791269302368164
12,Azerbaijan,AZE,24688.0,1738.0,92.9601425793908,-0.7295655608177185,-0.9299805760383606,-0.2547192871570587,-0.6736942529678345,58510881089.1125,5500.31038244408,-0.2573685646057129
13,"Bahamas, The",BHS,2117.0,0.0,100.0,0.9074764847755432,1.135789155960083,0.16617286205291748,0.597119152545929,10321877049.9511,31295.0620781067,0.7127459049224854
14,Bahrain,BHR,28484.0,0.0,100.0,-1.073540210723877,0.13884948194026947,0.819666862487793,0.4250485301017761,30665478723.4043,22634.118645445,0.559800922870636
15,Bangladesh,BGD,59011.0,724.0,98.7731100981173,-1.2120178937911987,-0.8083351850509644,-0.8990582823753357,-0.7512799501419067,156629551254.77,1248.45339778371,-0.7236188650131226
16,Barbados,BRB,1029.29,0.0,100.0,1.1353613138198853,1.4905282258987427,0.5658875107765198,1.0952152013778687,4518500000.0,16525.0732500596,1.025177001953125
17,Belarus,BLR,34082.0,278.0,99.18432016900417,0.11001651734113693,-0.33504530787467957,-0.9935865998268127,-0.8129372596740723,60589462935.5585,5949.10630699748,-0.45883843302726746
18,Belgium,BEL,69548.0,14466.0,79.1999769943061,0.5870946049690247,1.573306679725647,1.2877589464187622,1.4634943008422852,513057442367.476,40991.8081381432,1.4384405612945557
19,Belize,BLZ,416.955277777778,188.630277777778,54.7600695251755,0.04309758171439171,-0.22251595556735992,-0.46345075964927673,-0.7209606766700745,1552213783.61476,4775.95564827821,-0.684197723865509
20,Benin,BEN,342.0,19.0,94.44444444444444,-0.01351395808160305,-0.550821840763092,-0.563028872013092,-0.5360080599784851,11940211526.2241,1076.79771601166,-0.619635820388794
21,Bermuda,BMU,674.3,0.0,100.0,0.9830490350723267,1.2185018062591553,0.9129404425621033,0.8837420344352722,5852334673.38245,102005.62564189,1.0073319673538208
22,Bhutan,BTN,7747.654,7747.154,0.006453566460294269,0.974714994430542,1.0223214626312256,-0.7134355902671814,0.5223479270935059,2024091802.68411,2752.66420790266,0.40633800625801086
23,Bolivia,BOL,8528.0,2678.0,68.5975609756098,-0.26848721504211426,-0.6963719129562378,-0.8858230710029602,-1.141063928604126,25664047067.4511,3035.97221350817,-0.6519911885261536
24,Bosnia and Herzegovina,BIH,15629.0,5551.0,64.4826924307377,-0.4024370014667511,-0.39390793442726135,-0.19565749168395996,-0.28136640787124634,18356410773.0628,4727.27771157479,-0.5452667474746704
25,Botswana,BWA,2967.0,1.0,99.96629592180653,1.0420918464660645,0.8521220088005066,0.43887859582901,0.596159815788269,16146492271.1203,6799.87017783413,0.5019404888153076
26,Brazil,BRA,581652.0,430230.0,26.033091951888693,-0.33145809173583984,-0.3964887857437134,-0.19265525043010712,-0.14707525074481964,2337348378410.64,8814.00098681261,-0.1840900033712387
27,Brunei Darussalam,BRN,4200.0,2.0,99.95238095238095,1.2426623106002808,0.5724573135375977,0.8523869514465332,0.40797653794288635,13639431536.487,31164.5620291141,1.0599515438079834
28,Bulgaria,BGR,48742.0,8768.0,82.0114070001231,0.01732218824326992,-0.264645516872406,0.5637681484222412,-0.09700441360473633,55010127749.7693,7055.93567291245,0.20868311822414398
29,Burkina Faso,BFA,999.162,93.462,90.64596131558245,-0.6111074090003967,-0.27733802795410156,-0.3713624179363251,-0.5233564972877502,13161217009.7372,653.32697954543,-0.6194581389427185
30,Burundi,BDI,165.986,137.286,17.290614871133698,-1.9395108222961426,-1.2575204372406006,-0.7104731798171997,-1.167581558227539,2320881501.75984,305.549772797441,-1.1842650175094604
31,Cambodia,KHM,4397.0,2041.0,53.5819877188992,0.06194228678941727,-1.1179883480072021,-0.5250492691993713,-0.9784720540046692,15903594933.6638,1162.90491997151,-0.6994551420211792
32,Cameroon,CMR,6758.0,5144.0,23.8828055637763,-0.9896074533462524,-1.0744932889938354,-0.9170986413955688,-0.9759680032730103,33591213542.1421,1327.50301711492,-0.780584454536438
33,Canada,CAN,670740.0,422643.0,36.988549959746,1.2746977806091309,1.886581301689148,1.7176612615585327,1.84205961227417,1794500549645.37,43585.5119817751,1.762081265449524
34,Cape Verde,CPV,421.11,85.1,79.7915034076607,0.8678104281425476,0.9501760601997375,-0.26460352540016174,0.5907445549964905,1791765400.30868,3043.01398430098,0.16749344766139984
35,Cayman Islands,CYM,639.86,0.0,100.0,1.1534175872802734,1.0191222429275513,0.8151541948318481,0.8168694972991943,4551629806.1992,76280.4866192809,1.1667853593826294
36,Central African Republic,CAF,171.0,170.0,0.5847953216374009,-1.9047646522521973,-1.308060884475708,-1.439941167831421,-1.6848039627075195,1557754169.39887,377.423001679447,-1.7846499681472778
37,Chad,TCD,228.0,0.0,100.0,-0.974552571773529,-1.3639672994613647,-1.2107512950897217,-1.18327796459198,13499400995.0648,776.019532308037,-1.4610363245010376
38,Chile,CHL,75387.0,32872.0,56.3956650350856,0.4334392249584198,1.2799700498580933,1.3452316522598267,1.3440827131271362,264551397536.515,13574.171830724,1.0861022472381592
39,China,CHN,5844158.0,1398321.0,76.073182826337,-0.5502946376800537,-0.28210732340812683,-0.28943872451782227,-0.40979689359664917,8913503612415.53,8066.94263493557,0.40786394476890564
40,Colombia,COL,69017.0,47095.0,31.763188779575998,-1.0691466331481934,-0.29817458987236023,0.4654272496700287,-0.2684165835380554,360219757906.382,6175.87602970259,-0.03612658753991127
41,Comoros,COM,41.9,0.0,100.0,-0.232791468501091,-0.7191136479377747,-1.0290549993515015,-0.8152064085006714,1052370416.21205,1242.6031895579,-1.5220067501068115
42,"Congo, Rep.",COG,1734.0,925.0,46.6551326412918,-0.5263659954071045,-1.1960387229919434,-1.1957387924194336,-1.0785366296768188,15040667103.561,2461.49416964392,-1.0221909284591675
43,Costa Rica,CRI,10812.0,10704.0,0.9988901220866069,0.6820254921913147,0.7484274506568909,0.5257645845413208,0.5047451853752136,44693794268.6247,11299.1355423011,0.37561264634132385
44,Cote d'Ivoire,CIV,8711.0,1457.0,83.2740213523132,-0.8325459361076355,-0.43492966890335083,-0.5041509866714478,-0.6297164559364319,33996350011.177,1972.54610769746,-0.6855241060256958
45,Croatia,HRV,11238.0,7510.0,33.173162484427806,0.5907280445098877,0.24522607028484344,0.36402246356010437,0.20035406947135925,59318112197.5722,11781.7347932429,0.5138492584228516
46,Cuba,CUB,20288.0,801.0,96.05185331230284,0.6441016793251038,0.07048451900482178,-1.2235504388809204,-0.7014594078063965,73868565769.7899,7694.01191952409,0.021765001118183136
47,Cyprus,CYP,4533.0,398.0,91.21994264284139,0.5508664846420288,1.0074437856674194,1.062325358390808,1.0399105548858643,23620660214.7687,23333.7149112129,1.0486195087432861
48,Czech Republic,CZE,82616.0,9422.0,88.5954294567638,0.9791890978813171,0.4337359368801117,1.0988582372665405,1.1480884552001953,227381745549.048,17829.6983223668,1.0465093851089478
49,Denmark,DNK,28947.0,18962.0,34.494075379141194,0.8976498246192932,2.211076021194458,1.734574317932129,2.0423710346221924,343294476994.931,53254.8563700916,1.847928524017334
50,Djibouti,DJI,405.0,0.0,100.0,-0.4435315728187561,-0.6576261520385742,-0.6991643905639648,-0.9221798777580261,,2658.97875260181,-0.9543254971504211
51,Dominica,DMA,151.09,24.44,83.8242107353233,1.0779412984848022,0.6234235763549805,0.23256969451904297,0.6734655499458313,490530610.753256,7596.43506226258,0.11731190979480743
52,Dominican Republic,DOM,18457.0,2147.0,88.3675570244352,0.2367064207792282,-0.8184460997581482,-0.037778012454509735,-0.5126879215240479,68495164571.5313,6921.51722848184,-0.35731229186058044
53,Ecuador,ECU,25830.0,13639.0,47.1970576848626,-0.14395587146282196,-0.6712532639503479,-1.1573691368103027,-1.0289034843444824,86418807383.1386,6124.49164262072,-0.4423295855522156
54,"Egypt, Arab Rep.",EGY,181977.0,15030.0,91.74071448589658,-1.4966456890106201,-0.6380620002746582,-0.8355927467346191,-0.60128253698349,250049672567.835,3562.93273506849,-0.7694843411445618
55,El Salvador,SLV,5989.0,3463.0,42.1773250960094,-0.016997365280985832,-0.42367565631866455,0.196322500705719,-0.5850650668144226,20965892661.1306,3705.57794598177,-0.2355874925851822
56,Equatorial Guinea,GNQ,939.0,543.0,42.1725239616613,-0.20535242557525635,-1.7658905982971191,-1.3477258682250977,-1.4562932252883911,16469578277.7718,11283.46560612,-1.4178513288497925
57,Eritrea,ERI,406.0,2.0,99.50738916256158,-0.8767513036727905,-1.3011428117752075,-2.1087088584899902,-1.487500548362732,,,-1.5932605266571045
58,Estonia,EST,10417.0,1502.0,85.5812613996352,0.6209198236465454,1.29364812374115,1.6690391302108765,1.3319100141525269,23195350011.7364,17522.230186252,1.0679775476455688
59,Ethiopia,ETH,10437.0,10433.0,0.038325189230604906,-1.4981874227523804,-0.4501761496067047,-1.0311956405639648,-0.5090271234512329,48667131302.6327,640.541891313682,-0.6467084288597107
60,Fiji,FJI,914.395,411.623,54.9841151799824,0.5803086757659912,0.16991916298866272,-0.3621246814727783,-0.40410280227661133,3780669706.99817,5390.74525792812,-0.2912866175174713
61,Finland,FIN,68597.0,30525.0,55.50096943015,1.040587306022644,2.2753241062164307,1.836381435394287,2.063105344772339,250127815128.557,42784.6983616432,1.8130110502243042
62,France,FRA,563494.0,89357.0,84.1423333700093,0.10670637339353561,1.3056656122207642,1.1296942234039307,1.4133051633834839,2781288181330.75,36638.184929157,1.4367960691452026
63,Gabon,GAB,2126.0,930.0,56.2558795860771,0.021186958998441696,-0.7141644954681396,-0.7971619963645935,-0.5499371290206909,18544480427.5026,7384.71587003183,-0.7336025834083557
64,"Gambia, The",GMB,283.8,0.0,100.0,0.019588569179177284,-0.7702248096466064,-0.5086933970451355,-0.7213258743286133,1574808517.71584,660.723571244322,-0.9034832119941711
65,Georgia,GEO,10833.0,8454.0,21.960675713098894,-0.4660818874835968,0.679614245891571,0.9224599003791809,0.27151820063591003,15593311953.5165,4014.18594419329,0.40453001856803894
66,Germany,DEU,640967.0,187366.0,70.7682298776692,0.6998242735862732,1.837888479232788,1.7230777740478516,1.7949970960617065,3692893411745.64,41086.7296737253,1.736830234527588
67,Ghana,GHA,11491.0,5848.0,49.1079975633104,-0.03209933266043663,-0.18881841003894806,-0.031253885477781296,0.14239589869976044,45280184654.5808,1743.8509964087,-0.22216267883777618
68,Greece,GRC,51822.0,14850.0,71.3442167419243,-0.23025235533714294,-0.07661377638578415,0.40962299704551697,0.2671453058719635,244718538540.741,18167.7737271656,0.25606098771095276
69,Greenland,GRL,520.1739,422.8573,18.708474223716294,1.9431376457214355,1.1905503273010254,1.3531838655471802,1.7012770175933838,2544833840.08108,44536.4013080999,0.8677899837493896
70,Grenada,GRD,206.96,0.0,100.0,0.7907084822654724,0.5560133457183838,0.09009180963039398,0.14466722309589386,898080308.938223,9096.87064595412,-0.19626736640930176
71,Guam,GUM,1730.6,0.0,100.0,0.8079030513763428,1.2185018062591553,0.17245230078697205,1.3452397584915161,5203883425.52756,35278.9259389693,0.4874166250228882
72,Guatemala,GTM,11058.0,6678.0,39.6093326098752,-0.6550602316856384,-0.7331990599632263,-0.21626418828964233,-0.9472802877426147,49984953507.6393,3994.63691288475,-0.7110427021980286
73,Guinea,GIN,1118.2,880.6,21.248434984797,-0.3869883418083191,-0.9896519780158997,-0.8706912398338318,-1.1607695817947388,8578674004.45187,769.256013746016,-1.1455899477005005
74,Guinea-Bissau,GNB,36.35,0.0,100.0,-0.5182163715362549,-1.4825928211212158,-1.2031092643737793,-1.2835413217544556,998981744.956949,603.401118246693,-1.6130903959274292
75,Guyana,GUY,1039.03,0.0,100.0,-0.13965080678462982,-0.6353234052658081,-0.5150861144065857,-0.5274674892425537,4034740151.66708,5576.83333734239,-0.33548495173454285
76,Haiti,HTI,1038.0,83.0,92.00385356454721,-0.6708381772041321,-1.2375224828720093,-1.1703943014144897,-1.1806367635726929,13482802422.5256,1389.11951950807,-2.0162906646728516
77,Honduras,HND,8965.0,3790.0,57.7244841048522,-0.4689144194126129,-0.5667075514793396,-0.39593422412872314,-0.9256242513656616,18839040425.3557,2302.20137936204,-0.8215689659118652
78,"Hong Kong SAR, China",HKG,38030.0,106.0,99.72127267946358,1.0462945699691772,1.6513144969940186,2.1898841857910156,1.825609803199768,264386829327.016,42431.8882817277,1.9091756343841553
79,Hungary,HUN,30342.0,3211.0,89.4173093401885,0.7462977170944214,0.14863543212413788,0.7662329077720642,0.3999359607696533,146173151085.081,12706.8912148924,0.4972520172595978
80,Iceland,ISL,18799.0,18795.0,0.021277727538702607,1.3081644773483276,1.9391096830368042,1.27373468875885,1.6673295497894287,15724860715.2866,52564.4291794558,1.4920791387557983
81,India,IND,1383004.0,212195.0,84.6569496545202,-0.9484933614730835,-0.3520182967185974,-0.39146459102630615,-0.04732266440987587,2294947360719.64,1605.60543355488,0.09034229815006256
82,Indonesia,IDN,233984.0,24922.0,89.3488443654267,-0.6150606870651245,-0.4583672881126404,-0.21755778789520264,-0.42209815979003906,988128596686.365,3331.69512758628,-0.24062152206897736
83,"Iran, Islamic Rep.",IRN,280633.0,14326.0,94.89511212152527,-0.9257017374038696,-0.6045841574668884,-1.3115705251693726,-0.9234834909439087,476462445364.325,4904.32687747976,-0.20891591906547546
84,Iraq,IRQ,68922.0,2572.0,96.2682452627608,-2.2603518962860107,-1.3688790798187256,-1.237459659576416,-1.4177703857421875,188390451687.43,4989.80307473071,-1.2464336156845093
85,Ireland,IRL,28099.0,7858.0,72.0345919783622,0.908455491065979,1.6153714656829834,1.8188742399215698,1.7748981714248657,307661905045.932,61995.4228025802,1.5330822467803955
86,Israel,ISR,64226.0,1214.0,98.10979976956374,-1.0949127674102783,0.9430065751075745,1.2725979089736938,1.1622778177261353,277141740528.213,35776.7951618068,1.3877825736999512
87,Italy,ITA,281562.0,108906.0,61.3207748204658,0.3759196996688843,0.01626414805650711,0.7288106679916382,0.27505096793174744,2062497785388.09,30230.2263021296,0.4479527473449707
88,Jamaica,JAM,4122.0,423.0,89.7379912663755,0.0964844822883606,-0.23160508275032043,0.10595514625310898,-0.22732210159301758,13651535656.2906,4907.50371974316,0.2486221343278885
89,Japan,JPN,1035266.0,165485.0,84.0152192769781,1.0651277303695679,1.5691813230514526,1.2177425622940063,1.5187156200408936,5988669235428.84,34524.4698609337,1.7845206260681152
90,Jordan,JOR,19014.0,184.0,99.03229199537184,-0.6057785749435425,0.2600729167461395,0.08333564549684525,0.43942636251449585,31046672555.1508,4164.10787635509,0.12248700112104416
91,Kazakhstan,KAZ,106468.0,9448.0,91.12597212307924,-0.035000283271074295,-0.8526416420936584,-0.032958414405584335,-0.43933185935020447,186260298083.442,10510.7718884149,-0.07331541180610657
92,Kenya,KEN,9651.0,8446.0,12.485752771733502,-1.2444056272506714,-1.0134786367416382,-0.31242114305496216,-0.4881590008735657,52337445096.8196,1336.88334885603,-0.3012509346008301
93,Kiribati,KIR,27.5,2.0,92.72727272727273,0.8435605764389038,0.22011418640613556,-0.876477062702179,-0.15525849163532257,189763115.564024,1542.5752495838,-0.48982489109039307
94,"Korea, Dem. Rep.",PRK,13737.0,10000.0,27.203901870859696,-1.153404712677002,-1.247948408126831,-2.3258776664733887,-1.645119547843933,,,-1.6326161623001099
95,"Korea, Rep.",KOR,549226.0,10406.0,98.10533368777152,0.161014124751091,0.37362197041511536,1.1133885383605957,0.9323845505714417,1329638605060.43,28732.2310762599,1.0123937129974365
96,Kuwait,KWT,67918.0,0.0,100.0,-0.21342027187347412,-0.2250967025756836,-0.17312702536582947,0.0010720329592004418,137963712491.277,29869.5293908248,-0.03321985527873039
97,Kyrgyz Republic,KGZ,13030.0,11100.0,14.811972371450494,-0.8824379444122314,-1.1497142314910889,-0.5026596188545227,-0.9892439842224121,6082952718.31972,1121.08283510739,-0.9145041704177856
