"","RenewElecGen_2015","TotElecGen_2015","PolStab_2015","ContCorrup_2015","RegQual_2015","RuleofLaw_2015","GDP2010base_2015","GDPPerCapita_2015","GovEffec_2015","Eff","RenewElecGen_2015","TotElecGen_2015","PolStab_2015","ContCorrup_2015","RegQual_2015","RuleofLaw_2015","GDP2010base_2015","GDPPerCapita_2015","GovEffec_2015"
"DMU1",0.0231290886275179,0.0134249428629462,0.035658124979202,0.0448688129611631,0.175969592426737,0.01,0.0335900099697078,0.0110912639998716,0.171400474660871,0.177528570921023,122.407164018095,0,0,0,5.68280000089371,0,0,0,0
"DMU2",0.0849828747630037,0.0301786023543552,0.722391516687841,0.2727092306023,0.475450802422453,0.336326179670102,0.0257809136414049,0.0441961690877173,0.481773575816438,0.733380554206234,0.106525602071465,0,1.38429089614005,0,0,0,0,0,0
"DMU3",0.0133525861585631,0.175952640140343,0.384294544480719,0.228740650048317,0.131394497510144,0.187647566433573,0.17174012182787,0.0464988460115169,0.362776326982844,0.566262332113775,5.2056416803036,0,1.07753178595281,0,0,0,3.41161055971334,0,0
"DMU4",0.301912834186045,0.276479195964801,0.644394464673889,0.254749187625585,0.197703831173868,0.213494923552605,0.291079837676997,0.140697684449656,0.461916545808228,0.6995128210794,0.247783507903776,0.427265703336854,1.36852497999676,0,0,0,0,0,0
"DMU5",0.0412508109258786,0.0364003369053574,0.581515893476367,0.258243270133043,0.489397230293928,0.319778632846609,0.023935306098277,0.0408064953416789,0.441942766653776,0.597683052710339,0.312257369512704,0.414639805403283,1.69368882680348,0,0,0,0,0,0
"DMU6",0.275336693715452,0.367384541836733,0.849234958187638,0.896102666411655,0.880651816798572,0.933976757042911,0.476613577450684,0.56223475824754,0.84359002634725,1,0.302806013935288,0.126248115643923,0,0.798253911138729,0,0,0.367462966949439,0.112342923389672,0
"DMU7",0.325793380007194,0.163775149618224,0.9099905917722,0.800305814315619,0.783167208622985,0.942312394315523,0.275821742579208,0.438837783120034,0.823707945369766,0.963386058069002,0.0174143366573254,0,0.178616266342436,0,0,0.85479448116326,0.115935181900054,0,0
"DMU8",0.0207462364033031,0.158817234853036,0.355609602820972,0.185766304045805,0.200836048597076,0.218915717996763,0.150912192264127,0.0176643690515863,0.310924649366749,0.497676281197616,5.79670709813334,0,1.19987823513289,0,0,0,3.79897587311534,0,0
"DMU9",0.0141900898166293,0.107777442233057,0.666811515065523,0.310725048456975,0.176926822602799,0.201803791128324,0.0757279919357878,0.063781507616851,0.372563619657192,0.74948164591758,8.61815089506104,0.860995845262231,1.36051050338356,0,0,0,0,0,0
"DMU10",0.161593440477728,0.17721110395774,0.779113896841356,0.814571168487719,0.753951863424267,0.833588257238393,0.309926626129659,0.407578245487145,0.814236452829139,0.877075772404094,0.226684951677648,0,0.096490992996398,0.684289976268663,0,0.300302451856867,0.37780246523943,0,0
"DMU11",0.0473235167126528,0.0387356312118216,0.577713164585766,0.215327024812947,0.204183655624427,0.110737872019635,0.0402184604026676,0.0352013483829471,0.327599054608257,0.593739414344086,0.313975548410504,0.416921337989509,1.70300825585712,0,0,0,0,0,0
"DMU12",0.0812567790271282,0.0602469520520561,0.5461818902641,0.295184044388522,0.378748540034642,0.34933214762754,0.0319840377371902,0.0517943986499957,0.352443732902263,0.563616412057024,0.328677108444565,0.436443221495922,1.78274974604237,0,0,0,0,0,0
"DMU13",0.751390137175527,0.5225748467366,0.562890057805952,0.294502643928534,0.379507902589302,0.38660235090533,0.589758198219239,0.0918883998881254,0.436523067739891,0.664832609239424,0,0.288455508483611,1.33505972698831,0,0,0,0.165777364791323,0,0
"DMU14",0.113811734221592,0.139236697345993,0.644991619738612,0.329312112991162,0.570831502523297,0.400498651439424,0.0704344390216942,0.0746403828033072,0.527957810826177,0.681277522417498,0.262990064466632,0.453487142124795,1.45251181468183,0,0,0,0,0,0
"DMU15",0.0767632227555723,0.0330209737340652,0.407964181330269,0.115494819090357,0.196273066493285,0.156557409426948,0.0488081567185813,0.0184399086029289,0.297663471968289,0.418388103235011,0.443134362281355,0.58842853262546,2.40356767028383,0,0,0,0,0,0
"DMU16",0.747687899266539,0.550567339567669,0.940973090008157,0.897282431297725,0.862687868520474,0.93865255493972,0.537278142979504,0.433024540260277,0.889577668940049,1,0.146591046488592,0.334989546421982,0.703896468737537,0,0.17760544340624,0,0,0,0
"DMU17",0.268436238080981,0.186764585571371,0.74294400014025,0.737123965989448,0.768488543537736,0.800447622790829,0.212482987595491,0.138589456665302,0.732214640607505,0.826431187306428,0.131718133977388,0.30372742816198,0.0533336514596517,0,0.31095679548364,0.830390149967732,0,0,0
"DMU18",1,1,0.511376760577553,0.324701819120368,0.35502827556471,0.313688472999397,0.866557286801634,0.0845591640999816,0.574325667233611,1,0.343170609724154,1,0,0,0,0,0,0,0
"DMU19",0.325274296371941,0.176320873706971,0.389240958512244,0.320459713932172,0.545957953134735,0.352926148868108,0.255366276816739,0.0660062987099988,0.470967881218354,0.580078422150412,0,0.299246656134059,0,0,1.62973123498067,0,0.22505649392234,0,0
"DMU20",0.0236367917497617,0.0159204054714106,0.517009472684025,0.0834042007320494,0.125796086456812,0.128091249496589,0.0281411539899014,0.0295652624895045,0.241419231574809,0.529047653111189,0.353931212059081,0.469977599322459,1.91972839666507,0,0,0,0,0,0
"DMU21",0.131264111120482,0.0458921948570133,0.801460269512053,0.596785245471044,0.561219189283052,0.567503913410604,0.0602893601330056,0.116269543712667,0.566817798126002,0.810720806951914,0.0960162270967746,0,1.24772248611761,0,0,0,0,0,0
"DMU22",0.0311049743116176,0.0393178955015805,0.444935869883234,0.284353420956888,0.30072069728576,0.252653577116788,0.0492380684260012,0.0247682936514513,0.319792833846382,0.461020575981699,0.405589270257909,0.538573217201712,2.199922507447,0,0,0,0,0,0
"DMU23",0.101661261057843,0.0472010347027341,0.779969194800032,0.463929218521119,0.520309448925951,0.483025389221481,0.0745331775079014,0.121004225672178,0.598998282013119,0.79231886495162,0.232924195002202,0.309294999314659,1.26338445489073,0,0,0,0,0,0
"DMU24",0.0218581610102431,0.0732746330088228,0.792533147052766,0.41779367686389,0.118761634152486,0.232742553508398,0.0878261652729527,0.0809004175790114,0.48444462452072,0.823411974645825,0.227478910497865,0.302064323828065,1.23384914708309,0,0,0,0,0,0
"DMU25",0.0159738285414522,0.0256148393301828,0.770585934007824,0.665171149260073,0.696932519928304,0.716029866538838,0.0379475100147953,0.234338325869061,0.72348893007383,0.843076663728464,47.3027848917861,0.418891554676317,0,0,1.41946333661169,0,0,0,0
"DMU26",0.119867149873263,0.198032808168908,0.87141146107068,0.513699892636104,0.706172850030549,0.746052784064852,0.193204533702641,0.18033955152948,0.72299770854726,0.92249860123373,0.194011179405685,0.33454334279654,1.07153679299116,0,0,0,0,0,0
"DMU27",0.19299088051445,0.0955709512267324,0.852217423798655,0.982956042065309,0.866965719835217,0.994245548473507,0.248375895415667,0.527888488652893,0.909562290087052,1,0.194422268031485,0,0,0.992154596496425,0,0,0.0996700773633413,0,0
"DMU28",0.0404200725321594,0.0682484653309442,0.696633840324245,0.183096804300329,0.418681295112964,0.28513283606565,0.0830123363934114,0.0733216311006697,0.396198171320024,0.722220375211659,0.258452799551246,0.343193880993425,1.40185200284989,0,0,0,0,0,0
"DMU29",0.155283399963082,0.0878086146504907,0.607027372998137,0.22195889038296,0.135500995969797,0.141866076189838,0.0986665377200749,0.0655021770603231,0.37640675999582,0.623190166128529,0.285382763149568,0.492100011210861,1.57618819563386,0,0,0,0,0,0
"DMU30",0.165792951432537,0.312344354167263,0.288609293748557,0.230722100488105,0.216888506478395,0.260544922772278,0.205165771803736,0.0403712496414695,0.300247498115731,0.58438507543083,1.99002952532984,3.20159460754566,0,0,0,0,0,0,0
"DMU31",0.0571394948231015,0.0304900302515874,0.636912926329278,0.287324723217904,0.477892780363373,0.265045802970098,0.0349608014595043,0.0417707124574679,0.424534824560877,0.650367606628561,0.286113809657282,0.379924337877512,1.551885751702,0,0,0,0,0,0
"DMU32",0.0317249399915278,0.0446714378096109,0.787076225692931,0.740735272761076,0.850389780941466,0.797069299341014,0.0374718034060229,0.177323044905513,0.727995341577996,0.854056665215201,0.185264602346259,0,0,0,0.240554449045523,0.997949557747919,0,0,0
"DMU33",0.128904773442686,0.0447334151886902,0.288246375442825,0.280328020927742,0.167414296846968,0.286148827671146,0.0642536267171592,0.0117002743352236,0.328828842865982,0.328828842866,0,0,0,0,0,0,0,0,3.0410957605915
"DMU34",0.257423013842532,0.175614116329193,0.885864367607057,0.999918923424754,0.89271598647334,1,0.205205875593925,0.425167922595061,0.901433754629942,1,0.225741660002665,0.433589542652447,0,0.906296940860577,0,0,0,0.041470894843596,0
"DMU35",0.438120965418962,0.516393238439289,0.666032319669681,0.743908149139391,0.713972254285192,0.819659124483469,0.624818252556149,0.364865743911837,0.81385362694591,0.932073062279061,0.721751174504683,0.29667968232933,0,0,0,0.25605055203523,0.537377403099259,0,0.370041032956826
"DMU36",0.023708202997341,0.0173047230241995,0.645901372192306,0.210629398944031,0.226608868804724,0.274794958538617,0.0321999617697258,0.0778659776729794,0.308600511903355,0.660289218227592,0.283578723080825,0.376558051258294,1.53813540269911,0,0,0,0,0,0
"DMU37",0.581369981671784,0.541611814104846,0.805650035496275,0.88442647504469,0.864057877261764,0.925591162190296,0.682705050820814,0.408509501143287,0.883699411498111,1,0.197446820831181,0.243696105470329,0,0.860976723999896,0,0,0.156056705593066,0,0
"DMU38",0.0844775792668433,0.0479745954630028,0.633357980189022,0.349332106063423,0.420331454879978,0.466940094757656,0.0608790300724436,0.0225246129670447,0.427660024144264,0.647804470385231,0.285792024528406,0.379497046366574,1.55014038416029,0,0,0,0,0,0
"DMU39",0.164461573891688,0.145299000848036,0.586713506297294,0.378956551492228,0.531843278046753,0.50156214928143,0.20241194536847,0.183656339769269,0.538987036316215,0.620356014715178,0.209666272106772,0,1.57778502030665,0,0,0,0.367034753891381,0,0
"DMU40",0.0932307337091099,0.0466489756442938,0.486715335037162,0.205603863021078,0.373536449314909,0.164519191961792,0.065552460265372,0.0446066105098571,0.313852289148562,0.499412498745246,0.370110510356216,0.49146173949809,2.00748516216315,0,0,0,0,0,0
"DMU41",0.0112595720095476,0.0134403542928939,0.483001266193493,0.0724515926200937,0.132206516468519,0.0997551116121982,0.0263116211290908,0.0190444154307362,0.01,0.539164112801122,33.3945647999647,0,2.07038794718062,0,0,0,0,0,0
"DMU42",0.0540369563820271,0.0989561861097927,0.81658970875027,0.43842720495927,0.622041296769944,0.538415913947174,0.143891236282878,0.130080744980405,0.595134564262935,0.849122253127549,0.219269536010466,0.29116327305303,1.18932137223489,0,0,0,0,0,0
"DMU43",0.191903067909627,0.0691962373135158,0.948851024148181,0.911151057895689,0.750404681428089,0.890159228298588,0.028939766054827,0.521114849536215,0.826723125872757,0.955305292378055,0.0811014472114887,0,1.05390622400174,0,0,0,0,0,0
"DMU44",0.60635135019307,0.696995459425397,0.417642283430629,0.306243813008851,0.329222680316857,0.414286967299608,0.586089937299559,0.0211683141929604,0.500408923478328,0.862272745114563,0.891791300012466,1.43472957603622,0,0,0,0,0,0,0
"DMU45",0.228596910556416,0.354362826425631,0.496131076919519,0.278165383541313,0.373209256721734,0.310274467927043,0.423585915754699,0.0381026250500102,0.423362938891436,0.762366289047129,1.80562657898713,0,0,0,0,0,2.36079615210713,0,0
"DMU46",0.160538174406078,0.386130495507957,0.423007345741997,0.23956097367046,0.0964985473670188,0.17112358403813,0.298067694352016,0.0535313915900402,0.430743774049518,0.726878257039155,1.6097523870671,2.5897980388324,0,0,0,0,0,0,0
"DMU47",0.0459630241987915,0.176161215140267,0.108835734077314,0.0377706154512705,0.115243548673141,0.0339427491948021,0.170931799093485,0.0543699809751291,0.189217155189987,0.434057031419867,6.04022500043178,0,0,0,0,0,5.85028651955508,0,0
"DMU48",0.105091726742301,0.0934867583230329,0.854761036909607,0.825677180026596,0.888287858433316,0.920013050995865,0.232871339676773,0.613640387610563,0.836268352981832,0.963898704592212,0.135165080109803,0,0,0,0.211437591531663,0.794706627679599,0.128512733667,0.0832982216054938,0
"DMU49",0.0277259095709934,0.168117482276169,0.383175707724526,0.648158334676005,0.750117153568483,0.749990797833146,0.218639853550053,0.356414826129389,0.802443639557786,0.867548835950895,3.06762396771295,1.53078596752733,0,0,0,0.99020963907994,0,0,0
"DMU50",0.475320266884726,0.38671781155646,0.729404120912621,0.403478328486629,0.612576018933157,0.503756229951509,0.564785750639541,0.301998580215521,0.583658050644396,0.809787739193284,0.154377636133398,0,1.16172581938972,0,0,0,0.270248319461226,0,0
"DMU51",0.0163435851527785,0.024218420885047,0.663626125071493,0.338035500838221,0.455035994604741,0.364331216249016,0.0265105324495523,0.053562558935873,0.537255325029113,0.686326583222757,9.24326053617942,0.856875074716005,1.47560170071641,0,0,0,0,0,0
"DMU52",0.55665696676636,0.637670307438929,0.891641090905442,0.813481985272284,0.736242487054586,0.848913985572556,0.783004297560462,0.344128520259847,0.894801389862824,1,0.476499323743518,0,0,0.57803552481023,0,0,0.67659719795987,0,0
"DMU53",0.0127824162119459,0.0697899268598393,0.498316051090827,0.467849106483519,0.449314801526944,0.549375796429729,0.0460881732028514,0.0462692552649785,0.507891977934291,0.721809362518059,62.4354332776908,1.03787529869846,0,0,0,1.68840120886605,0,0,0
"DMU54",0.120104395202462,0.231507613291044,0.632675107360785,0.17406844294978,0.419900325156659,0.305491550722517,0.169645899695399,0.108535070104793,0.462310591792212,0.735473108171569,0.912585868056921,1.11990745710231,1.17079507140589,0,0,0,0,0,0
"DMU55",0.110766466930486,0.0422841556629731,0.347985652565984,0.13160400439896,0.34921528900667,0.29194041653774,0.0678517246080473,0.0185319371077021,0.409248849984829,0.409248849985,0,0,0,0,0,0,0,0,2.44350106307361
"DMU56",0.128668285621409,0.511408052139998,0.678816159431989,0.497828507818289,0.709848026548961,0.68618787154676,0.479190736779448,0.287302057256737,0.715055826724843,1,2.46884254369413,0,0,0,0.397573947059219,0,1.49790649772724,0,0
"DMU57",0.017169539349262,0.0680789782967695,0.240131596424216,0.165850453928868,0.353669528532266,0.198274436981348,0.0579501293440225,0.0804151436889006,0.368966214961623,0.432153178379803,73.5434464461082,0.905753272381522,0,0,2.65314698306303,0,0,0,0
"DMU58",0.01,0.0108152946791327,0.448353876747114,0.228774500147959,0.209442722896725,0.189685703359717,0.0130217434500119,0.012385479498107,0.163462339231658,0.51210181008125,195.273670257354,0,2.23038107143275,0,0,0,0,0,0
"DMU59",0.0341326678997708,0.0246815009748063,0.819766682073046,0.562258411364048,0.751239465018805,0.707186812442054,0.0603281388676029,0.145300604094844,0.755222018297087,0.842470991038706,0.13187267476479,0,1.02842730178042,0,0.208894194692245,0,0,0,0
"DMU60",0.0164617730759362,0.0144878879600264,0.979742996252979,0.952754828943254,0.847604867382654,0.947697126665508,0.0764032956474487,1,0.880730769524021,1,0,0,0,0,0,0,0,1,0
"DMU61",0.038855395659701,0.0293514626939865,0.573351543468637,0.331573444426825,0.537431791761588,0.375018912631782,0.0229034211999194,0.0529029733821624,0.506933284585839,0.591034400481942,0.187875089858668,0,1.46516988511627,0,0.297605365696564,0,0,0,0
"DMU62",0.0237769924406767,0.015843271596534,0.540314430373927,0.17442320017722,0.234698409052347,0.236682965902222,0.0238274575733066,0.01,0.180098489635904,0.552683128392301,0.338786461902399,0.449867213240464,1.83758303636459,0,0,0,0,0,0
"DMU63",0.165187457342284,0.281857896410017,0.701871675678728,0.461248482619836,0.618611646610674,0.566720968953147,0.242859578734282,0.103084897425687,0.700288002610954,0.811960006302814,0.802341950842935,0.984618286724306,1.02935847957981,0,0,0,0,0,0
"DMU64",0.0210500593860713,0.0158424493664724,0.244115110993675,0.218897793296953,0.282045226101727,0.223380949656535,0.0254147281814298,0.0127886141697504,0.262640745251093,0.298007625014542,76.3705135524151,0,0,0,3.5455306718793,0,0,0,0
"DMU65",0.0100030440006847,0.01,0.857354697557733,0.368785831897565,0.144517659790313,0.368408342026924,0.01,0.036946346036758,0.106640543761573,0.979200347719769,18.8132369581758,0,1.16637839956823,0,0,0,0,0,0
"DMU66",0.0201227796780526,0.0203490518153546,0.875984335550147,0.47681438641872,0.70430105451917,0.664798302077235,0.0245143748281414,0.0962683928381353,0.725438358839268,0.895322755592533,0.209276222105475,0.277893367720239,1.13511748225133,0,0,0,0,0,0
"DMU67",0.32807227963068,0.404623475067002,0.452903291881991,0.196960709824424,0.518716761375395,0.303337866214811,0.463430718356872,0.0997629752188359,0.528164566635511,0.733621805154192,1.65038258724521,0,0,0,0,0,2.15781984315865,0,0
"DMU68",0.012571971813415,0.0289083497735484,0.809548215296715,0.269384406461507,0.339581183530631,0.322015673727042,0.0241750076722876,0.043860423680991,0.381893512410274,0.882820564102032,19.9242204202085,0,1.23525687674221,0,0,0,0,0,0
"DMU69",0.0684140215100578,0.100103989863737,0.560529187657693,0.341009525585168,0.385049760114774,0.402735359407175,0.120258456332408,0.0336246141545478,0.464933098254285,0.590408806588635,0.305954972522592,0.527573718001595,1.68980989168168,0,0,0,0,0,0
"DMU70",0.119657060533153,0.0612277136773337,0.366661732203492,0.178413310179195,0.119035563536349,0.0842402723328078,0.0846767936968313,0.0180467652504121,0.191041815186233,0.381352069851877,0.469334731927705,0.809297745576265,2.5921672917496,0,0,0,0,0,0
"DMU71",0.0317249399915278,0.0152177807461786,0.813486031848631,0.483496476346244,0.405528359784255,0.480250266330145,0.0275378135562635,0.0531885190006865,0.53715347516723,0.829311327391169,0.0945968194089298,0,1.22927740716957,0,0,0,0,0,0
"DMU72",0.155716577978,0.236138631743438,0.858919037369814,0.896679329847856,0.883268844962849,0.96699769180541,0.402225390989469,0.448620955239084,0.90597224636035,1,0.203483866135141,0,0.49292346463384,0,0,0.464836157589842,0.316049567358249,0,0
"DMU73",0.279699767743257,0.129983173834282,1,1,0.914054979944921,0.98287275501266,0.158988057651423,0.383143609611433,0.918046899404815,1,0,0,0.0207765556442991,0,0.394244019354215,0.629646851024233,0,0,0
"DMU74",0.0423273031726656,0.025770566545129,0.620526954277152,0.164657218245358,0.328477357208467,0.223126182540767,0.0238719684972977,0.0255267031904007,0.289440985294965,0.634411763510822,0.294120413095792,0.390556133363607,1.59531369322862,0,0,0,0,0,0
"DMU75",0.0100608718257752,0.0116155815958219,0.389853090262127,0.226448993581501,0.243857479970276,0.26902862968019,0.0226638576263276,0.0101668152223961,0.326987185345018,0.464840930104028,88.5707974472043,0,0,0,0,0,0,0,3.05822382288441
"DMU76",0.0830737358392232,0.101550400631777,0.187672068215434,0.114202692646201,0.213112562541065,0.160538681166006,0.293143508003031,0.0317823644030985,0.256174415080521,0.678390946849334,3.52205148013298,0,0,0,0,0,3.41129846883652,0,0
"DMU77",0.524631822757874,0.275385208783145,0.914377629517753,0.991332863748091,0.834665510663743,0.985579860327977,0.294934725946913,0.734902717568809,0.913419854039512,1,0,0.315818314283912,0,0.623347755647333,0,0,0,0.401526875343151,0
"DMU78",0.277272632671645,0.237142381849016,0.0564939515741576,0.185127196539227,0.269644969043663,0.214645684828392,0.186736387692557,0.0187260378539836,0.32398446506831,0.418293805310096,1.37850866466524,1.77412869057719,0,0,0,0,0,0,1.78798355806166
"DMU79",0.0937262016936026,0.0442960931275076,0.731795171114836,0.301302910203458,0.517404335093195,0.397904052000363,0.0582970038249954,0.139140196815341,0.547398917041484,0.744474842386722,0.248256728291815,0.329654738556256,1.34654835382364,0,0,0,0,0,0
"DMU80",0.353680101677953,0.152779108136787,0.649976331027412,0.149151858284617,0.359711993137443,0.235486035220545,0.0482542727306194,0.0584601087763203,0.258600329559264,0.662572333220784,0.185868549645709,0.409240828217523,1.44232413781978,0,0,0,0,0,0
"DMU81",0.231446381254865,0.138254274738535,0.547327231028625,0.258238753639042,0.552513895882439,0.292689672713186,0.169672958435762,0.0665284847724634,0.414897030319744,0.575318994787719,0,0.235775624972564,1.13291809577606,0,0.628628691899583,0,0,0,0
"DMU82",0.205497746168295,0.197724310078144,0.439494326179902,0.279458186672723,0.417339447239504,0.332254446664076,0.219677211469895,0.0348586392638332,0.505507270311898,0.547460446243167,1.0987397845683,1.41406856935107,0,0,0,0,0,0,1.42511158598587
"DMU83",0.215902229051544,0.296001969459963,0.846850986477855,0.575952358228854,0.68120327459848,0.650018120442048,0.322763994064379,0.12882108077752,0.665328784196315,0.914235633256226,0.689793696584455,0.846501279174878,0.884965556137185,0,0,0,0,0,0
"DMU84",0.225547278890199,0.144246462783361,0.856970143899513,0.653892456575976,0.670254903578556,0.745638235404301,0.193574542470396,0.194198948089919,0.763464471858631,0.875908538273903,0.147324120063953,0,1.1086465525957,0,0,0,0.257900670463588,0,0
"DMU85",0.01,0.12426830224726,0.875517070865395,0.634553254158328,0.599873248555522,0.641264047081301,0.161488087677365,0.623879331637836,0.701675944163969,1,6.63882165250864,0.663251076692408,1.04804228868915,0,0,0,0,0,0
"DMU86",0.560780016194797,0.643553204923131,0.398612433509323,0.148587453903562,0.296514969150565,0.215486229383058,0.522312611864948,0.0967841102114889,0.431785188106781,0.825070666195404,0.965847861697428,1.55387307894714,0,0,0,0,0,0,0
"DMU87",0.0100152195724197,0.419868798224629,0.493462085397524,0.412949071179186,0.43459300801655,0.460118587783027,0.356685417846685,0.207792454098789,0.52592117435229,1,1.93290835854537,1.58650156508109,0,0.596686384415477,0,0,0,0.420979706111061,0
"DMU88",0.0161809705909375,0.0236484178782521,0.613451587185632,0.414765037160733,0.388385061426132,0.388101814435311,0.0340733535736726,0.0173778474017083,0.380104692909004,0.635833302517243,9.98759671643701,0.925877037559703,1.59442813963304,0,0,0,0,0,0
"DMU89",0.0118941447107472,0.010434021345698,0.61678198279804,0.188044993296393,0.201825058802923,0.190513493843461,0.0137833594342543,0.0111870379521432,0.188410320849355,0.680723047628668,26.1512455490231,0,1.62131843648148,0,0,0,0,0,0
"DMU90",0.0235367761341098,0.142550822664802,0.949695700860533,0.951706246963094,1,0.930719456657764,0.228901410171974,0.551353577243583,1,1,0,0,0,0,1,0,0,0,0
"DMU91",0.0865343227149601,0.0898327900689164,0.84677868623702,0.446143532670849,0.627714318528876,0.5672434392203,0.111802708068649,0.16543980103357,0.674393834701003,0.872077298776809,0.212213850281611,0.281794180620831,1.15105122314907,0,0,0,0,0,0
"DMU92",0.0677751440576421,0.057893359085733,0.865339096713759,0.603272441600793,0.586660294122887,0.697895761265261,0.0647461921480956,0.210282768696169,0.7057498831372,0.885935049376433,0.209622157930308,0.278352728417842,1.13699384354338,0,0,0,0,0,0
"DMU93",0.0813987712813119,0.36352332404852,0.590776308400415,0.405822933764001,0.498900307219746,0.451906585182018,0.277849424529022,0.0616773582692072,0.54730881628495,0.849583647092124,2.36146271577654,1.49020167703819,0.775719889820195,0,0,0,0,0,0
"DMU94",0.453609961661054,0.384324386967362,0.700114118980068,0.553346503168938,0.632513645759296,0.677641932713031,0.491627174097724,0.257867587617215,0.752684794313623,0.810787095421,0,0,0,0,0,0,0.22440775335886,0,1.18200215693406
"DMU95",0.0902337029303978,0.0530746477113113,0.662186355150877,0.308319795084412,0.414841893820739,0.437778392355367,0.0901324111804641,0.0431265909666453,0.477223103866376,0.67728560578579,0.273060970988766,0.362591755802923,1.48108695183562,0,0,0,0,0,0
"DMU96",0.110518683183892,0.0526719027159505,0.131944254833041,0.0120055751272592,0.0512810827686946,0.0913292198506807,0.0793226138098739,0.0241521036314326,0.135805521070736,0.18190604259851,11.9020444896897,0,2.77071093742381,0,0,0,7.99797913271729,0,0
"DMU97",0.463717941461388,0.293669055302577,0.86385931998173,0.990890467652728,0.887324718498395,0.992974773209998,0.321892403661247,0.511118184190743,0.902106856608755,1,0.198981440456129,0.415472801047257,0,0.886060088046009,0,0,0,0,0
"DMU98",0.303161892228859,0.171358458379989,0.95619410768067,0.963259281249726,0.868613004813603,0.967270076412139,0.345041207957405,0.810701711654733,0.944510061189127,1,0.182490340082182,0,0,0.910506498484743,0,0,0.204646314755466,0.0645548816494009,0
"DMU99",0.0404597043830105,0.0315007139433444,0.542943462438149,0.217584972812337,0.33340776952379,0.32424336823903,0.0591681965039411,0.0147160296393379,0.339242955687555,0.557504673475055,0.334810640893385,0.444587806538011,1.81601812140086,0,0,0,0,0,0
"DMU100",0.166881496216015,0.308548190602063,0.406829139105773,0.268915950038385,0.502097562142238,0.386426630907457,0.268869500439169,0.0627115445137961,0.560885620373001,0.692546831278815,0.889212151512344,1.14440832360747,0,0,0,0,0,0,1.15334545751208
"DMU101",0.0183293549353932,0.071607709473175,0.414842511674825,0.381016716003213,0.325720597921771,0.409079570918058,0.0637594990779757,0.0433022812897259,0.451377891429273,0.497837088133185,39.3097587372254,0.127201598332651,0,0,0,0,0,0,2.19525901404687
"DMU102",0.425940979944693,0.373853186231407,0.289252321118529,0.358424142897782,0.496750903801132,0.396052908612083,0.442310887555848,0.113396101330191,0.531287192308011,0.649233663177636,1.12595724870233,0,0,0,0.492177602863571,0,1.38354095050169,0,0.270202457802173
"DMU103",0.0542451911307923,0.0219933547221227,0.451537388380045,0.121525739167568,0.361971541194391,0.319120722948241,0.0498241570158472,0.0136927242542506,0.366548216472962,0.461417834462933,0.40349420910752,0.535791230825979,2.18855886319604,0,0,0,0,0,0
"DMU104",0.0975784859548026,0.293841257876591,0.17911370083661,0.140465255471454,0.277817698192782,0.201633604511414,0.126134910187001,0.0262606745015543,0.357491470473208,0.602846903659093,2.62552180150669,3.40319806424289,0,0,0,0,0,0,0
"DMU105",0.0144585959777944,0.257083649704224,0.819708159987945,0.68219612847781,0.709258799469218,0.60528249709834,0.260422997429809,0.384734553428035,0.830803641847389,1,1.65192788752033,1.13043675698057,0,0,0,0,0,0,0.85385180929012
"DMU106",0.425707809024253,0.418794707344043,0.762789953236074,0.89458669811845,0.895062341651492,0.930604190294367,0.621492262493305,0.446654871911056,0.885309028524502,1,0.737641242835243,0,0,0,0.49979506679095,0,0.88923433246878,0,0
"DMU107",0.809608918031719,0.934663376314834,0.800527367704733,0.768005108170135,0.745958100467545,0.87039286662302,1,0.563055529901443,0.820075331515854,1,0.764837987970931,0,0,0,0,0,1,0,0
"DMU108",0.143580425986853,0.0547313684291914,0.877307936466004,0.746861936216353,0.535614058483039,0.62513992383282,0.0631556313978534,0.158599478480975,0.602492862090795,0.886594855990441,0.0877151431645451,0,1.13985062534397,0,0,0,0,0,0
"DMU109",0.140798909348708,0.155639105342575,0.553102677532539,0.0659993953846274,0.0128116582328341,0.119024610415927,0.0815940204831265,0.031071523197639,0.322980903457928,0.596183363930683,1.11037565899712,1.36263120460486,1.42454797347553,0,0,0,0,0,0
"DMU110",0.01,0.0282837773958593,0.01,0.01,0.143617808548483,0.0746545706874693,0.0347839061030016,0.0211333132730918,0.100600469884325,0.239413590944776,266.944786007369,0,0,0,6.96292479398401,0,0,0,0
"DMU111",0.150554932327625,0.0538392756757551,0.676622440621616,0.309083837942479,0.317827836060658,0.363667115415444,0.0406538099273526,0.0185408868748888,0.350023118876126,0.684320334204439,0.267272295242983,0.354905098515957,1.44968908459578,0,0,0,0,0,0
"DMU112",0.0764841197406695,0.0424658465154908,0.495402378043523,0.0531943008340754,0.01,0.0617621735133125,0.0304765960716694,0.0195933445023612,0.209834306264967,0.508669631879057,0.364503261182147,0.484015994630603,1.97707135546888,0,0,0,0,0,0
